"filename", "language", "YAML", "Properties", "Groovy", "C++", "XML", "Dart", "JSON", "Markdown", "Swift", "HTML", "SVG", "comment", "blank", "total"
"c:\dev\projects\TCC3\museo\lib\views\store\checkout\components\build_cart_summary_details.dart", "Dart", 0, 0, 0, 0, 0, 132, 0, 0, 0, 0, 0, 5, 13, 150
"c:\dev\projects\TCC3\museo\lib\views\store\checkout\components\build_cart_summary_title.dart", "Dart", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 1, 3, 43
"c:\dev\projects\TCC3\museo\lib\views\store\checkout\components\build_coupon_code.dart", "Dart", 0, 0, 0, 0, 0, 166, 0, 0, 0, 0, 0, 1, 14, 181
"c:\dev\projects\TCC3\museo\lib\views\store\checkout\components\build_hello_user.dart", "Dart", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 3, 7, 89
"c:\dev\projects\TCC3\museo\lib\views\store\checkout\components\build_location_address.dart", "Dart", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 1, 5, 58
"c:\dev\projects\TCC3\museo\lib\views\store\checkout\components\build_payment_information.dart", "Dart", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 1, 3, 72
"c:\dev\projects\TCC3\museo\lib\views\store\checkout\components\build_payment_method.dart", "Dart", 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 1, 6, 114
"c:\dev\projects\TCC3\museo\lib\views\store\components\build_outilned_button.dart", "Dart", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"c:\dev\projects\TCC3\museo\lib\views\store\souvenirs\components\build_cart_counter.dart", "Dart", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 4, 50
"c:\dev\projects\TCC3\museo\lib\views\store\souvenirs\components\build_categories.dart", "Dart", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 6, 68
"c:\dev\projects\TCC3\museo\lib\views\store\souvenirs\components\build_color_and_size.dart", "Dart", 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 6, 104
"c:\dev\projects\TCC3\museo\lib\views\store\souvenirs\components\build_grid_products.dart", "Dart", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 4, 45
"c:\dev\projects\TCC3\museo\lib\views\store\souvenirs\components\build_item_card.dart", "Dart", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 4, 52
"c:\dev\projects\TCC3\museo\lib\views\store\souvenirs\souvenirs_detail_view.dart", "Dart", 0, 0, 0, 0, 0, 248, 0, 0, 0, 0, 0, 0, 19, 267
"c:\dev\projects\TCC3\museo\lib\views\store\souvenirs\souvenirs_store_view.dart", "Dart", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 7, 75
"c:\dev\projects\TCC3\museo\lib\views\store\tickets\components\build_container_day.dart", "Dart", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 6, 86
"c:\dev\projects\TCC3\museo\lib\views\store\tickets\components\build_date_selector.dart", "Dart", 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 2, 15, 95
"c:\dev\projects\TCC3\museo\lib\views\store\tickets\components\build_tickets_list.dart", "Dart", 0, 0, 0, 0, 0, 259, 0, 0, 0, 0, 0, 3, 27, 289
"c:\dev\projects\TCC3\museo\lib\views\store\tickets\components\build_title_coupon_store.dart", "Dart", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 4, 33
"c:\dev\projects\TCC3\museo\lib\views\store\tickets\components\build_total_and_payment.dart", "Dart", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 5, 4, 89
"c:\dev\projects\TCC3\museo\lib\views\store\tickets\tickets_details_view.dart", "Dart", 0, 0, 0, 0, 0, 242, 0, 0, 0, 0, 0, 6, 20, 268
"c:\dev\projects\TCC3\museo\lib\views\store\tickets\tickets_store_view.dart", "Dart", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 3, 8, 64
